	TCGA.02.0001	TCGA.02.0003	TCGA.02.0007	TCGA.02.0009	TCGA.02.0010	TCGA.02.0011	TCGA.02.0014	TCGA.02.0021	TCGA.02.0024	TCGA.02.0027	TCGA.02.0028	TCGA.02.0033	TCGA.02.0034	TCGA.02.0038	TCGA.02.0043	TCGA.02.0047	TCGA.02.0052	TCGA.02.0054	TCGA.02.0057	TCGA.02.0058	TCGA.02.0060	TCGA.02.0064	TCGA.02.0069	TCGA.02.0071	TCGA.02.0074	TCGA.02.0075	TCGA.02.0080	TCGA.02.0083	TCGA.02.0085	TCGA.02.0086	TCGA.02.0089	TCGA.02.0099	TCGA.02.0102	TCGA.02.0107	TCGA.02.0113	TCGA.02.0114	TCGA.02.0115	TCGA.02.0116	TCGA.02.2466	TCGA.02.2470	TCGA.02.2483	TCGA.02.2485	TCGA.02.2486	TCGA.06.0122	TCGA.06.0124	TCGA.06.0125	TCGA.06.0126	TCGA.06.0128	TCGA.06.0129	TCGA.06.0130	TCGA.06.0133	TCGA.06.0137	TCGA.06.0139	TCGA.06.0140	TCGA.06.0141	TCGA.06.0142	TCGA.06.0143	TCGA.06.0145	TCGA.06.0147	TCGA.06.0155	TCGA.06.0169	TCGA.06.0875	TCGA.06.0876	TCGA.06.0877	TCGA.06.0878	TCGA.06.0879	TCGA.06.0881	TCGA.06.0882	TCGA.06.0939	TCGA.06.1084	TCGA.06.1086	TCGA.06.1087	TCGA.06.1800	TCGA.06.1801	TCGA.06.1802	TCGA.06.1805	TCGA.06.2557	TCGA.06.2558	TCGA.06.2559	TCGA.06.2561	TCGA.06.2562	TCGA.06.2563	TCGA.06.2564	TCGA.06.2565	TCGA.06.2566	TCGA.06.2567	TCGA.06.2569	TCGA.06.2570	TCGA.12.0670	TCGA.12.0820	TCGA.12.0821	TCGA.12.0822	TCGA.12.0826	TCGA.12.0827	TCGA.12.0828	TCGA.12.0829	TCGA.12.1088	TCGA.12.1089	TCGA.12.1090	TCGA.12.1091	TCGA.12.1092	TCGA.12.1093	TCGA.12.1094	TCGA.12.1095	TCGA.12.1096	TCGA.12.1097	TCGA.12.1098	TCGA.12.1099	TCGA.12.1597	TCGA.12.1598	TCGA.12.1599	TCGA.12.1600	TCGA.12.1602	TCGA.12.3644	TCGA.12.3646	TCGA.12.3648	TCGA.12.3649	TCGA.12.3650	TCGA.12.3651	TCGA.12.3652	TCGA.12.3653	TCGA.14.0736	TCGA.14.0783	TCGA.14.0786	TCGA.14.0787	TCGA.14.0789	TCGA.14.0790	TCGA.14.0812	TCGA.14.0813	TCGA.14.0817	TCGA.14.0865	TCGA.14.0866	TCGA.14.0867	TCGA.14.0871	TCGA.14.1034	TCGA.14.1037	TCGA.14.1396	TCGA.14.1401	TCGA.14.1402	TCGA.14.1451	TCGA.14.1452	TCGA.14.1453	TCGA.14.1454	TCGA.14.1455	TCGA.14.1456	TCGA.14.1458	TCGA.14.1459	TCGA.14.1794	TCGA.14.1795	TCGA.14.1821	TCGA.14.1823	TCGA.14.1825	TCGA.14.1827	TCGA.14.1829	TCGA.14.2554	TCGA.14.2555	TCGA.14.3476	TCGA.14.3477	TCGA.14.4157	TCGA.15.1446	TCGA.15.1447	TCGA.15.1449	TCGA.16.0846	TCGA.16.0848	TCGA.16.0849	TCGA.16.0850	TCGA.16.0861	TCGA.16.1045	TCGA.16.1047	TCGA.16.1048	TCGA.16.1055	TCGA.16.1056	TCGA.16.1060	TCGA.16.1062	TCGA.16.1063	TCGA.16.1460	TCGA.19.0955	TCGA.19.0957	TCGA.19.0960	TCGA.19.0962	TCGA.19.0963	TCGA.19.0964	TCGA.19.1385	TCGA.19.1386	TCGA.19.1387	TCGA.19.1388	TCGA.19.1389	TCGA.19.1390	TCGA.19.1392	TCGA.19.1786	TCGA.19.1787	TCGA.19.1788	TCGA.19.1789	TCGA.19.1790	TCGA.19.1791	TCGA.19.2619	TCGA.19.2620	TCGA.19.2621	TCGA.19.2623	TCGA.19.2624	TCGA.19.2625	TCGA.19.2629	TCGA.19.2631	TCGA.19.4068	TCGA.26.1438	TCGA.26.1439	TCGA.26.1440	TCGA.26.1443	TCGA.26.1799	TCGA.27.1830	TCGA.27.1831	TCGA.27.1832	TCGA.27.1833	TCGA.27.1834	TCGA.27.1835	TCGA.27.1836	TCGA.27.1837	TCGA.27.1838	TCGA.27.2518	TCGA.27.2519	TCGA.27.2521	TCGA.27.2523	TCGA.27.2524	TCGA.27.2526	TCGA.27.2527	TCGA.27.2528	TCGA.28.1745	TCGA.28.1746	TCGA.28.1747	TCGA.28.1749	TCGA.28.1750	TCGA.28.1751	TCGA.28.1752	TCGA.28.1753	TCGA.28.1755	TCGA.28.1756	TCGA.28.1757	TCGA.28.1760	TCGA.28.2502	TCGA.28.2506	TCGA.28.2509	TCGA.28.2513	TCGA.28.2514	TCGA.32.1970	TCGA.32.1973	TCGA.32.1976	TCGA.32.1977	TCGA.32.1978	TCGA.32.1982	TCGA.32.1986	TCGA.32.1987	TCGA.32.1991	TCGA.32.2491	TCGA.32.2494	TCGA.32.2495	TCGA.32.2615	TCGA.32.2616	TCGA.32.2632	TCGA.32.2634	TCGA.32.2638	TCGA.32.4208	TCGA.32.4209	TCGA.32.4210	TCGA.32.4211	TCGA.32.4213	TCGA.32.4719	TCGA.41.2571	TCGA.41.2572	TCGA.41.2573	TCGA.41.2575	TCGA.41.3392	TCGA.41.3393	TCGA.41.3915	TCGA.41.4097
ACTC1	-0.597802128	-0.105794854	-0.676178769	2.049829151	-0.708490349	-0.131546701	1.396145222	-0.667500476	-0.274771124	-0.332589396	-0.464468076	-0.066397049	0.825270601	-0.294621202	-0.179972652	-0.89450484	-0.63422169	-0.966745666	-0.374951107	-0.628127492	-0.538447971	-0.618889574	-0.743218999	0.276146117	0.583763053	-0.787404953	-1.084929892	0.673365047	-0.150915373	-0.573681201	0.605100812	1.302950438	-0.535019471	0.327722533	-0.482219033	-1.00240322	-0.359360648	-0.736244075	2.420936431	0.729582154	-0.704526419	-0.053938262	0.387212923	0.154972689	-0.35330021	-0.527477185	-0.703846536	-0.87638343	-1.298699638	2.219123597	0.472461899	-0.863150826	0.35763519	0.401556444	-0.607178396	-0.507264335	-0.638982987	-0.989531759	0.087989686	-0.146994669	-0.47210848	1.20175615	0.248085357	-0.530690915	-1.062176821	1.203757652	1.478273298	0.955705478	-0.362364075	0.219053845	-1.004539638	-0.36025801	0.746833276	-1.119647371	1.171977644	0.615948511	0.03731146	1.010798115	0.337046244	-0.354146211	0.036822446	-0.304832733	0.093479829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLSTN2	-0.894540664	-0.738555509	-0.889927362	-0.722965155	-0.858912261	-1.002611313	2.185854633	-1.334433862	0.757975742	-1.090004883	-0.990782682	-0.327721235	-0.600556231	-0.960874824	-0.997209527	-1.058808271	-0.905483715	-0.794464523	-0.831573469	-0.72857238	-0.998130874	-0.675052955	0.471360952	-0.824599304	-0.14485173	-0.224016744	-0.300706771	-1.25918556	-0.011934201	-1.318283599	-0.497381828	0.349494444	-0.959795204	-0.261482791	-1.252531002	2.133580029	-0.232246643	-0.500610234	0.240808178	1.02759359	2.212188128	1.379584768	-0.378085501	-1.08116742	-0.326424688	0.206969709	-1.252682391	0.480673438	3.020183509	-0.639848397	-1.136709119	-0.624433722	-0.917147662	-0.617068736	-0.689489232	-0.204674186	-0.545053212	-0.857569575	-0.481817957	-0.942071365	-0.975536606	-0.738732121	-1.250039279	-1.081944205	-1.143128739	-1.059449968	-0.505335448	-0.539557879	-0.862632358	-0.789240184	-1.046871237	3.463910692	0.482652024	-0.186032273	0.290727998	1.737511955	1.355582388	1.956774511	-0.552246453	-0.522203469	-1.132070653	1.018896552	-0.829636494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDAP1L1	-0.420203015	-0.840544002	-0.190662494	-1.045872878	-0.477157226	-0.470438543	0.699010345	-0.723964186	-0.942867619	-1.110851148	-0.888351966	-0.8396088	-0.756564312	-0.735461593	-0.718877467	-0.290067127	-0.998641505	-0.742202658	-1.184712516	-0.735517913	-1.065306957	-0.668413568	-0.591550361	-0.303534682	0.652613419	-1.144797705	1.25447845	-0.294535313	-0.303572087	-0.863330398	0.617650752	-0.658964161	-0.38607417	-0.495315102	-0.329096898	0.670369621	-0.065941107	-1.030929223	1.562769733	1.098332426	2.64236808	1.721713938	-0.901200657	-0.457841213	-1.150023941	-0.465760993	0.280898016	0.054538195	1.4650974	-1.046841384	-0.335995805	1.136290546	-0.958344557	-1.114788889	-0.512195425	-0.315370895	-0.995825304	0.354770987	-0.750728075	0.379936668	-0.577181559	0.98962426	-0.087088761	-0.71403493	-1.363659891	-0.285938366	-0.977538023	-0.573873518	-0.936245175	-1.291915817	-0.559823384	2.412220838	-0.376404119	0.494915136	-0.222150898	-0.308322297	-0.438400982	1.39804911	-0.089518894	-0.097506536	-0.284592302	-0.235772758	-0.942146998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFAP5	1.397756733	0.713167278	-0.222579631	4.523797618	0.248540156	-0.399454317	-0.523646209	-0.523075856	-0.00068934	2.538449645	0.343427759	-0.135602995	0.286780682	-0.402759446	5.023185718	-0.236983243	3.305728004	0.221146171	4.549788916	2.1038166	3.514239016	-0.71799654	1.501796473	-0.331136548	-0.480713079	2.048790884	-0.400603079	-0.322526973	-0.320885548	-0.609557679	-0.624655978	3.818299576	-0.548566891	4.076137795	-0.589096002	-0.483806257	-0.489461815	-0.624094378	-0.457167371	0.711094495	-0.563433518	0.336185002	-0.607855818	-0.595962004	0.449324353	-0.433327644	-0.527282598	-0.513027073	-0.66142685	0.678871307	2.777698982	-0.177819977	0.308037434	-0.383516429	-0.234410502	-0.388213504	-0.338778641	-0.266215208	0.505476659	-0.197912793	-0.488401816	-0.445137922	-0.531096734	-0.334841323	-0.402243994	-0.09049818	0.371882042	-0.43949604	1.34193122	1.379384719	0.143452328	-0.431741076	2.626871493	-0.58296456	-0.364724017	-0.268507934	-0.664564096	-0.292196184	0.118620256	-0.611144635	-0.65922008	-0.643239754	-0.59585267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCGBP	-3.392291251	-2.401992283	-3.216043902	-2.845669511	-2.042824181	-3.196407218	-1.928554511	-3.118211524	-3.13640925	-1.426840209	-2.715931894	-2.678798697	-2.289390404	-3.375038055	-2.254295098	-3.153979566	-3.366290599	-1.204636124	-2.747666461	-1.958171319	-2.833152591	0.767330194	-1.636307825	0.949334051	0.521784642	0.995815261	0.01334672	0.025874997	0.687193993	1.100798861	0.688086821	0.580230822	0.679083447	0.237978261	0.441716628	-0.533097104	-0.364583515	-3.218144815	0.022640076	0.814643136	-0.348930172	-0.363497737	0.427438854	0.642074883	0.976037694	0.07857122	0.185667863	0.543871339	-0.688033458	0.148871759	0.24105706	-0.001853329	0.845834601	-0.237962427	0.471169365	-1.774213419	0.379969585	-0.714300642	0.89871508	0.410437047	0.402369635	-0.080187168	0.660593726	0.930854958	0.850398283	0.406895759	1.006400654	0.506377249	0.530639865	0.150071055	-0.372153889	-1.423178297	0.265331869	-0.064612515	0.711599157	-0.162103295	0.225313208	0.204497425	-0.231274917	0.604966403	0.867801004	-0.504946193	0.388693243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC3B	-0.447790831	1.410254261	-0.884231323	0.356892404	-0.771593846	-1.316614959	-0.321905688	-1.443000605	-1.612556163	3.746366384	3.341788547	1.02047218	3.480973559	-1.136903699	-0.556943862	-1.268195725	-0.337156207	-0.947240608	-0.518396099	-0.131769594	3.257286363	1.318630799	1.155960004	-0.287385104	-0.465108315	-0.702933301	0.209224475	0.080423503	0.20657532	0.423478198	1.251978085	2.828778592	-0.683114237	1.265995684	2.036416606	-0.371262203	0.114549741	-0.450778957	0.173800352	0.441881114	-0.864281872	-0.051881831	0.950682202	-0.367210401	-1.156283862	-0.724864922	-0.848316208	0.636919114	-0.166852215	-0.116977332	1.206134201	-0.700686399	1.235031261	0.207152661	-0.549995656	0.644771991	0.428859572	0.616743176	0.425117437	-0.305059897	0.555608912	-0.218385718	0.038023457	0.06944127	-0.690403422	-0.155679137	1.525279809	0.349279268	-0.594582111	1.058413511	3.794515707	-0.536688717	-0.48533322	-0.140085957	-0.13396495	-0.240879502	0.33973217	1.217178346	1.449639056	-0.382599557	-0.613444043	0.626500429	-0.739049184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNOC	0.117442589	1.379788864	-0.667241822	-0.033837283	3.522185012	2.049579129	-0.86099342	-0.877084299	-0.838851048	-0.609435205	-0.666965361	0.09842323	-0.329733147	-0.809508155	1.750320458	-0.769953824	0.51481223	-0.679545765	2.64484507	-0.62425385	-0.765666674	-1.088406243	-1.015151546	-0.776664656	-1.138193226	-0.51421583	-0.865225474	1.025042694	-0.642468644	-0.961971876	1.320852844	0.293310095	0.088214291	0.259748902	-1.077476588	-1.002081288	-0.453371388	-0.703072087	0.66438453	2.251829943	-0.286073535	1.486183025	-0.923001327	-0.456429304	-0.701820942	0.22628703	1.466813618	-0.378609501	-0.830282486	-0.862858727	0.537133544	-0.560585629	-0.69397493	-0.488628722	-0.290742918	-0.176245213	-0.653512939	-0.280253805	-0.929665706	-1.164924152	-0.857983192	0.443904527	0.207131115	0.433634821	-0.436637374	-0.917710731	-0.814304575	0.711117123	-0.555321216	-0.194322796	0.401575424	-0.604207625	-0.832315867	-0.607686137	0.893790717	-1.10811216	-0.395615723	1.492539878	-0.548301896	0.477118789	1.108830097	1.315528473	-0.637565264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRG1	-0.874800853	-1.764326655	-0.321405768	0.89906328	-0.607117483	-2.549993014	-2.01349614	1.75162983	1.178672432	0.489285259	-0.910250083	-1.59424419	-1.303327406	0.684615111	0.737270464	-1.698674458	-0.967605184	-1.234479264	-0.071473771	-1.652133088	-0.087146605	0.144297241	-1.100553259	0.720436581	0.922296858	0.57477364	0.471561514	-0.072401993	1.415040477	0.48014967	0.811717658	0.473551037	0.4490966	1.110598086	0.388655374	-1.153713197	1.378462428	0.204160795	0.149598929	0.64961739	-0.425218409	1.146869364	1.073602369	-0.147407963	0.094126771	-1.091097173	-0.23943332	0.065178119	-0.101233207	-0.360046683	0.551940588	-2.309965375	0.243968565	0.331783399	-0.094812092	2.148448907	-1.019312662	-1.078836069	0.087427131	-0.052142508	-1.623917842	-1.134305834	-0.217010495	-1.43178216	-1.112963692	-1.110125081	0.499954145	0.702613893	-0.171605658	-0.571980634	-0.257467598	-1.641774005	0.947679806	-0.113854318	-0.302343659	-0.676156792	1.289177599	0.683487773	-0.737872044	0.920019212	1.020253039	-0.59255308	1.014163884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COLEC11	-1.172468201	-0.414954966	-1.117133886	0.320108323	0.933169627	-0.978052438	-0.13994015	1.403881699	-1.055684386	-0.185831515	-0.113802941	-0.39022463	0.204034128	-0.696130046	-0.683978499	-0.039870291	-0.868772443	3.380972249	-0.765799035	-0.8872516	-0.024415568	-1.09866144	0.387499001	-0.619182317	-0.981752101	0.320668013	-0.429029928	-0.828960889	-0.239609031	-0.989808253	-0.730534244	1.744849953	-0.811630741	-0.313675849	-0.728681219	-0.063833958	0.305545609	-0.992684313	-0.661690345	1.07848427	-0.740317156	2.531444764	0.228386269	-1.230791616	-1.024404509	-1.063040315	0.648128235	-1.100276194	-0.950931021	-1.264953191	0.612038074	-0.97606353	1.285371238	-0.234378676	0.640098021	-0.565895189	-0.831149848	-0.225813102	-0.58693705	4.966333234	-0.781218577	-0.969188716	0.496949797	0.138920977	0.355858613	0.978708199	0.337852316	-0.569583671	-0.399014222	-0.924200097	-0.323162255	0.073914562	-0.921410898	-0.602454928	-0.264359968	-0.496248216	-0.613619753	0.059729993	1.307109882	-0.153329091	-1.142187692	-0.27842697	2.002380751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STON1	-1.823823279	-0.209043286	-2.995070217	-0.582931968	-1.408793628	-3.084851039	-0.902635451	-2.577543834	-2.437358865	0.347339153	-0.635524954	-1.429912014	-1.078448074	-3.39606427	0.435699474	-3.543211545	-0.865282769	-1.210413382	-0.157612223	-1.985583671	-0.128998406	0.663043902	-0.248259836	0.590685734	0.338143193	0.013638208	1.298635438	-1.065189163	-0.943474406	-0.161905401	0.238320385	1.217264693	0.423826152	0.300889403	-2.981760465	-0.055782088	-2.490194572	-0.86917832	0.944668086	0.459284387	0.539478988	0.793118465	1.320507207	0.52387853	0.085391726	0.11843428	-0.216169962	0.817843477	0.952489151	-0.354796224	-2.359884863	-0.752277323	-0.6488746	-0.653644323	-0.355037613	-0.587949182	0.897211277	-1.958007922	-0.769490462	0.769238436	-0.968742882	-0.293130179	-0.816126959	0.722021289	-0.331321383	0.70010472	0.188639486	-2.153786753	-0.864422959	-1.643008234	1.61124561	-1.74082332	-0.034514595	0.38622884	1.214847911	0.872391152	0.294048255	0.588433769	0.294160691	0.923290345	0.013986868	-2.351955766	-0.619211825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PERP	1.973821298	3.249346846	2.552092146	3.448411407	2.679066955	0.249827826	-1.10805918	2.8582505	2.19042311	2.43657568	2.190505237	3.076228377	-0.352333672	3.129191502	2.709692947	2.758370843	2.995347266	2.323904627	3.122471439	2.956970688	2.119181995	-0.303471169	-0.005006272	-0.299926456	-0.666606052	-0.696965996	-0.909949524	0.719376683	0.340090535	0.084808305	0.253420821	0.809668378	-0.511564763	0.403758206	0.930750554	-0.965048729	0.757040554	2.926967728	-0.734531987	-0.001178011	-0.574836607	-0.433958993	1.576762186	-0.730723479	0.760951626	0.777219724	-0.350851105	-0.410657253	-0.644856547	-0.841362252	-0.455208125	0.076104102	-0.055984908	-0.648164626	0.240694452	-0.557407184	0.100207839	0.440385736	-0.288082032	-0.224762185	-0.814709462	-0.938093692	-0.661650771	0.95279846	0.128438283	-0.868485917	0.082989764	0.601686333	0.190812476	1.383355819	1.848753842	-0.069503443	0.821711336	-0.61438524	-0.738100805	-0.502432515	-0.553566401	-0.697855764	-0.456868804	0.015876236	0.876426172	-0.585405739	-0.64253209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FN1	0.250280853	0.317126477	-4.506723976	0.590457526	-1.88080973	-7.302341691	-1.169999259	-1.327984551	-7.257994521	0.919237125	0.505386914	-0.02922868	-0.269830417	-7.334858205	1.114345915	-3.01457518	0.305119685	-1.205418331	1.260769968	-0.628130876	1.147210073	1.018269799	0.170446956	0.803636458	0.133299787	0.410361122	-0.518560896	-0.578944275	0.467015567	0.116254835	0.151562367	0.461566436	0.196410046	0.903881943	-0.304008154	-0.749718395	0.025151836	0.851078733	-0.298972909	0.270475325	0.239619923	0.083479465	-0.365059899	0.507430383	0.848294068	0.230685948	-0.250920053	0.746710124	-1.14442643	0.73503134	-0.769867218	-0.317952691	1.045954128	0.769152578	0.59605968	-0.336136676	0.653705419	-1.097709519	0.830265778	1.414893122	0.104931895	-0.063293363	-0.244492472	0.161685826	0.395050295	0.34596217	1.281431044	-0.211315027	0.097186551	0.348893813	0.07038234	0.692662509	0.991050608	0.470004285	0.269659607	0.16357063	0.09642325	0.535544718	0.291132709	-0.050655229	0.409461449	0.25751793	0.205920712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
